x,y,pdf
0.224539,0.988815,0.178315
0.131045,0.173187,0.098630
0.726386,0.194903,0.551527
0.738939,0.827452,0.029425
0.191820,0.053775,0.185894
0.055021,0.140661,0.034958
0.469392,0.389427,0.260238
0.910768,0.038108,0.762325
0.409592,0.002272,0.397863
0.196270,0.955102,0.161683
0.217698,0.724859,0.184476
0.678406,0.692007,0.123966
0.413065,0.861392,0.226299
0.308279,0.129635,0.276169
0.472979,0.026656,0.449251
0.221031,0.445616,0.020354
0.489221,0.649982,0.048521
0.881171,0.722368,0.186047
0.415435,0.659885,0.015211
0.076526,0.087297,0.068396
0.733452,0.114977,0.606387
0.713966,0.775844,0.064257
0.616684,0.796805,0.011145
0.619992,0.758013,0.028375
0.918703,0.030227,0.772646
0.799349,0.818996,0.066619
0.565155,0.246943,0.420229
0.854763,0.234529,0.586909
0.177107,0.057829,0.171142
0.520937,0.431598,0.262299
0.003975,0.849672,0.003962
0.515928,0.275118,0.369823
0.494134,0.171952,0.411653
0.163040,0.871221,0.140848
0.081363,0.429288,0.078500
0.486338,0.027762,0.460498
0.015224,0.645166,0.015076
0.732931,0.762683,0.086161
0.313518,0.312590,0.194195
0.525128,0.500853,0.208185
0.164933,0.597268,0.148822
0.095610,0.850005,0.088037
0.360011,0.408959,0.165369
0.308729,0.096404,0.286385
0.578568,0.106616,0.505271
0.421069,0.810863,0.166465
0.611674,0.852934,0.068598
0.784386,0.205741,0.575152
0.846335,0.883949,0.030710
0.944059,0.133539,0.704823
0.590993,0.209289,0.459855
0.836172,0.867717,0.040224
0.069973,0.508722,0.067485
0.036355,0.056377,0.033103
0.164998,0.240615,0.102760
0.263505,0.489407,0.021086
0.231899,0.227932,0.169806
0.591521,0.569736,0.188280
0.570651,0.237396,0.429675
0.072163,0.629315,0.068915
0.376846,0.317443,0.241902
0.722176,0.480442,0.333463
0.252741,0.910586,0.198638
0.077797,0.843076,0.072804
0.606003,0.005820,0.567571
0.769761,0.538741,0.304750
0.514271,0.846690,0.130203
0.821952,0.591661,0.279552
0.883661,0.960651,0.016790
0.626802,0.627751,0.155609
0.979350,0.525338,0.386721
0.800579,0.212077,0.578698
0.656346,0.337379,0.413721
0.371678,0.015420,0.360900
0.868584,0.899368,0.027320
0.005050,0.950572,0.005026
0.284465,0.390630,0.117690
0.215885,0.668974,0.185434
0.086966,0.537400,0.082911
0.775677,0.058339,0.667057
0.286445,0.648040,0.110566
0.763803,0.631871,0.220065
0.124267,0.328918,0.015439
0.967725,0.949715,0.026404
0.395374,0.646582,0.017571
0.584960,0.463256,0.275994
0.767927,0.751842,0.113001
0.429926,0.422892,0.207165
0.428141,0.231396,0.331472
0.098800,0.739914,0.091710
0.628443,0.702615,0.086411
0.795501,0.943110,0.044283
0.967075,0.417119,0.476008
0.771945,0.620721,0.233566
0.477264,0.888771,0.201263
0.585668,0.988369,0.213751
0.854091,0.811707,0.096938
0.627966,0.473598,0.291708
0.397179,0.784024,0.158038
0.625663,0.457627,0.303616
0.497325,0.602769,0.098977
0.069642,0.564967,0.066916
0.745207,0.145835,0.594278
0.773253,0.141505,0.613254
0.990277,0.106394,0.747112
0.013732,0.811699,0.013580
0.927988,0.095500,0.727697
0.959752,0.255489,0.610232
0.043451,0.878476,0.041819
0.338234,0.595570,0.013464
0.989676,0.760720,0.188081
0.543537,0.035634,0.506250
0.728497,0.388545,0.411312
0.642159,0.640217,0.152604
0.012327,0.480685,0.012255
0.976066,0.396769,0.495736
0.034851,0.256094,0.030457
0.317788,0.950584,0.230967
0.328791,0.573650,0.000235
0.780387,0.653195,0.208096
0.238873,0.049409,0.231508
0.935443,0.814881,0.125036
0.548101,0.667013,0.071463
0.842162,0.301893,0.529136
0.085492,0.646894,0.080814
0.940752,0.869035,0.081478
0.393366,0.589891,0.035978
0.013176,0.868225,0.013027
0.782344,0.160902,0.605291
0.664413,0.223645,0.496939
0.352158,0.828204,0.244692
0.027355,0.814137,0.026753
0.806413,0.424061,0.416506
0.644460,0.653431,0.141624
0.139409,0.542246,0.128876
0.729284,0.508864,0.312670
0.523171,0.038102,0.488604
0.261029,0.849192,0.206755
0.972793,0.146768,0.705935
0.615218,0.262131,0.442350
0.618222,0.985191,0.187696
0.683625,0.732254,0.089059
0.660624,0.453556,0.325579
0.686600,0.419856,0.366078
0.341436,0.801752,0.225717
0.130886,0.831428,0.117083
0.502244,0.376506,0.291965
0.616079,0.522354,0.243895
0.563598,0.314799,0.375171
0.442847,0.722461,0.057376
0.000911,0.199204,0.000911
0.226021,0.525042,0.044083
0.645541,0.940760,0.129231
0.965709,0.529988,0.379210
0.389196,0.405005,0.190732
0.279528,0.081638,0.263451
0.119791,0.546809,0.111958
0.749105,0.491988,0.335888
0.966866,0.069610,0.767165
0.583952,0.889868,0.122785
0.184706,0.874694,0.156275
0.055859,0.586733,0.054041
0.251279,0.816143,0.202538
0.406911,0.099667,0.371351
0.011119,0.527063,0.011054
0.184262,0.222246,0.129094
0.940277,0.332733,0.539402
0.204804,0.783881,0.173230
0.861474,0.516292,0.359259
0.602828,0.988251,0.201265
0.687569,0.452588,0.340019
0.663830,0.471474,0.312453
0.021472,0.375815,0.021299
0.397566,0.470625,0.145283
0.690630,0.796573,0.032351
0.053498,0.743228,0.051399
0.544208,0.833952,0.095727
0.031741,0.128355,0.015204
0.091086,0.978293,0.083228
